"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"71682","AT 2020aaut","12:09:12.555","+02:15:24.30","","","WISEA J120912.92+021521.7","0.075748","ALeRCE, ZTF, ATLAS, Fink","ZTF, ATLAS","","ATLAS; ZTF","ZTF20actkulc","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","18.8935","g-ZTF","2020-11-23 12:23:38.999","ALeRCE","",""
"71681","AT 2020aaus","12:16:05.670","+01:42:48.71","","","WISEA J121605.64+014250.9","0.0823","ALeRCE","ZTF","","ZTF","ZTF20acpbdvj","P48 - ZTF-Cam","","1","1","","19.9849","g-ZTF","2020-11-23 12:23:38.999","ALeRCE","",""
"71680","AT 2020aaur","12:30:35.293","+07:26:19.15","","","WISEA J123035.39+072618.0","0.095132","ALeRCE, YSE","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20actkuse","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.319","g-ZTF","2020-11-23 12:23:38.999","ALeRCE","",""
"71679","AT 2020aauq","12:33:42.596","+08:50:24.69","","","SDSS J123342.58+085023.7","0.161","ALeRCE","ZTF","","ZTF","ZTF20actkuir","P48 - ZTF-Cam","","1","1","","19.6297","g-ZTF","2020-11-23 12:22:58.996","ALeRCE","",""
"71678","AT 2020aaup","12:19:27.198","+23:53:37.36","","","KUG 1216+241","0.071268","ALeRCE","ZTF","","ZTF","ZTF20actkuke","P48 - ZTF-Cam","","1","1","","19.5846","g-ZTF","2020-11-23 12:21:37.996","ALeRCE","",""
"71677","AT 2020aauo","09:04:00.776","-08:29:36.67","","","WISEA J090400.62-082938.4","","ALeRCE","ZTF","","ZTF","ZTF20actkqvr","P48 - ZTF-Cam","","1","1","","20.2228","g-ZTF","2020-11-23 12:02:08.002","ALeRCE","",""
"71676","SN 2020aaun","10:10:01.020","+11:54:58.18","SN II","0.02815","CGCG 064-083","0.028146","ALeRCE, ATLAS, ZTF, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20actkmks","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.5306","g-ZTF","2020-11-23 11:47:45.997","ALeRCE","",""
"71675","AT 2020aaum","09:47:32.068","+12:23:46.96","","","SDSS J094731.99+122346.4","0.177","ALeRCE, Pan-STARRS1","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20actlfwu","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.822","g-ZTF","2020-11-23 11:47:45.997","ALeRCE","",""
"71674","SN 2020aaul","08:01:41.403","-10:24:21.15","SN Ia","0.08","WISEA J080141.37-102421.9","","ALeRCE, Fink","ZTF","None","ZTF","ZTF20actjbaf","P48 - ZTF-Cam","Magellan-Baade - IMACS","1","1","","19.7549","r-ZTF","2020-11-23 10:29:27.997","ALeRCE","",""
"71673","SN 2020aauk","08:17:50.950","-05:43:09.70","SN Ia","0.03943","WISEA J081750.69-054305.6","0.039434","ALeRCE, ATLAS, ZTF, Pan-STARRS1, Fink, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","None","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20actiymd","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Magellan-Baade - IMACS","1","1","","18.9779","r-ZTF","2020-11-23 10:28:06.997","ALeRCE","",""
